group	x	y	key	showSelected1
1	95	10.5	Mc1	Mc1
1	175	14.9	Mc1	Mc1
1	250	18.1	Mc1	Mc1
1	350	18.9	Mc1	Mc1
1	500	19.5	Mc1	Mc1
1	675	22.2	Mc1	Mc1
1	1000	21.9	Mc1	Mc1
2	95	7.7	Mc2	Mc2
2	175	11.4	Mc2	Mc2
2	250	12.3	Mc2	Mc2
2	350	13	Mc2	Mc2
2	500	12.5	Mc2	Mc2
2	675	13.7	Mc2	Mc2
2	1000	14.4	Mc2	Mc2
3	95	10.6	Mc3	Mc3
3	175	18	Mc3	Mc3
3	250	17.9	Mc3	Mc3
3	350	17.9	Mc3	Mc3
3	500	17.9	Mc3	Mc3
3	675	18.9	Mc3	Mc3
3	1000	19.9	Mc3	Mc3
4	95	10.6	Mn1	Mn1
4	175	19.2	Mn1	Mn1
4	250	26.2	Mn1	Mn1
4	350	30	Mn1	Mn1
4	500	30.9	Mn1	Mn1
4	675	32.4	Mn1	Mn1
4	1000	35.5	Mn1	Mn1
5	95	12	Mn2	Mn2
5	175	22	Mn2	Mn2
5	250	30.6	Mn2	Mn2
5	350	31.8	Mn2	Mn2
5	500	32.4	Mn2	Mn2
5	675	31.1	Mn2	Mn2
5	1000	31.5	Mn2	Mn2
6	95	11.3	Mn3	Mn3
6	175	19.4	Mn3	Mn3
6	250	25.8	Mn3	Mn3
6	350	27.9	Mn3	Mn3
6	500	28.5	Mn3	Mn3
6	675	28.1	Mn3	Mn3
6	1000	27.8	Mn3	Mn3
7	95	14.2	Qc1	Qc1
7	175	24.1	Qc1	Qc1
7	250	30.3	Qc1	Qc1
7	350	34.6	Qc1	Qc1
7	500	32.5	Qc1	Qc1
7	675	35.4	Qc1	Qc1
7	1000	38.7	Qc1	Qc1
8	95	9.3	Qc2	Qc2
8	175	27.3	Qc2	Qc2
8	250	35	Qc2	Qc2
8	350	38.8	Qc2	Qc2
8	500	38.6	Qc2	Qc2
8	675	37.5	Qc2	Qc2
8	1000	42.4	Qc2	Qc2
9	95	15.1	Qc3	Qc3
9	175	21	Qc3	Qc3
9	250	38.1	Qc3	Qc3
9	350	34	Qc3	Qc3
9	500	38.9	Qc3	Qc3
9	675	39.6	Qc3	Qc3
9	1000	41.4	Qc3	Qc3
10	95	16	Qn1	Qn1
10	175	30.4	Qn1	Qn1
10	250	34.8	Qn1	Qn1
10	350	37.2	Qn1	Qn1
10	500	35.3	Qn1	Qn1
10	675	39.2	Qn1	Qn1
10	1000	39.7	Qn1	Qn1
11	95	13.6	Qn2	Qn2
11	175	27.3	Qn2	Qn2
11	250	37.1	Qn2	Qn2
11	350	41.8	Qn2	Qn2
11	500	40.6	Qn2	Qn2
11	675	41.4	Qn2	Qn2
11	1000	44.3	Qn2	Qn2
12	95	16.2	Qn3	Qn3
12	175	32.4	Qn3	Qn3
12	250	40.3	Qn3	Qn3
12	350	42.1	Qn3	Qn3
12	500	42.9	Qn3	Qn3
12	675	43.9	Qn3	Qn3
12	1000	45.5	Qn3	Qn3
