x	y	label	key	showSelected1
4.8	34	Cars shown: 1	1	1
4.8	34	Cars shown: 2	1	2
4.8	34	Cars shown: 3	1	3
4.8	34	Cars shown: 4	1	4
4.8	34	Cars shown: 5	1	5
4.8	34	Cars shown: 6	1	6
4.8	34	Cars shown: 7	1	7
4.8	34	Cars shown: 8	1	8
4.8	34	Cars shown: 9	1	9
4.8	34	Cars shown: 10	1	10
4.8	34	Cars shown: 11	1	11
4.8	34	Cars shown: 12	1	12
4.8	34	Cars shown: 13	1	13
4.8	34	Cars shown: 14	1	14
4.8	34	Cars shown: 15	1	15
4.8	34	Cars shown: 16	1	16
4.8	34	Cars shown: 17	1	17
4.8	34	Cars shown: 18	1	18
4.8	34	Cars shown: 19	1	19
4.8	34	Cars shown: 20	1	20
4.8	34	Cars shown: 21	1	21
4.8	34	Cars shown: 22	1	22
4.8	34	Cars shown: 23	1	23
4.8	34	Cars shown: 24	1	24
4.8	34	Cars shown: 25	1	25
4.8	34	Cars shown: 26	1	26
4.8	34	Cars shown: 27	1	27
4.8	34	Cars shown: 28	1	28
4.8	34	Cars shown: 29	1	29
4.8	34	Cars shown: 30	1	30
4.8	34	Cars shown: 31	1	31
4.8	34	Cars shown: 32	1	32
